icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
XI,Пищеварение,K70,55_59,жен,27,55-59,12
XI,Пищеварение,K70,55_59,муж,29,55-59,12
XI,Пищеварение,K70,60_64,жен,17,60-64,13
XI,Пищеварение,K70,60_64,муж,37,60-64,13
XI,Пищеварение,K70,65_69,жен,15,65-69,14
XI,Пищеварение,K70,65_69,муж,25,65-69,14
XI,Пищеварение,K70,70_74,жен,4,70-74,15
XI,Пищеварение,K70,70_74,муж,11,70-74,15
XI,Пищеварение,K70,75_79,муж,5,75-79,16
XI,Пищеварение,K71,25_29,жен,1,25-29,6
XI,Пищеварение,K71,25_29,муж,1,25-29,6
XI,Пищеварение,K71,30_34,жен,4,30-34,7
XI,Пищеварение,K71,30_34,муж,3,30-34,7
XI,Пищеварение,K71,35_39,жен,4,35-39,8
XI,Пищеварение,K71,35_39,муж,8,35-39,8
XI,Пищеварение,K71,40_44,жен,4,40-44,9
XI,Пищеварение,K71,40_44,муж,6,40-44,9
XI,Пищеварение,K71,45_49,жен,4,45-49,10
XI,Пищеварение,K71,45_49,муж,6,45-49,10
XI,Пищеварение,K71,50_54,жен,8,50-54,11
XI,Пищеварение,K71,50_54,муж,6,50-54,11
XI,Пищеварение,K71,55_59,жен,10,55-59,12
XI,Пищеварение,K71,55_59,муж,17,55-59,12
XI,Пищеварение,K71,60_64,жен,4,60-64,13
XI,Пищеварение,K71,60_64,муж,11,60-64,13
XI,Пищеварение,K71,65_69,жен,10,65-69,14
XI,Пищеварение,K71,65_69,муж,6,65-69,14
XI,Пищеварение,K71,70_74,жен,3,70-74,15
XI,Пищеварение,K71,80_plus,жен,4,80+,17
XI,Пищеварение,K72,50_54,муж,1,50-54,11
XI,Пищеварение,K72,55_59,муж,1,55-59,12
XI,Пищеварение,K73,25_29,жен,1,25-29,6
XI,Пищеварение,K73,35_39,муж,1,35-39,8
XI,Пищеварение,K73,40_44,жен,1,40-44,9
XI,Пищеварение,K73,50_54,жен,1,50-54,11
XI,Пищеварение,K73,60_64,муж,1,60-64,13
XI,Пищеварение,K73,75_79,муж,2,75-79,16
XI,Пищеварение,K74,20_24,жен,1,20-24,5
XI,Пищеварение,K74,25_29,жен,2,25-29,6
XI,Пищеварение,K74,25_29,муж,1,25-29,6
XI,Пищеварение,K74,30_34,жен,24,30-34,7
XI,Пищеварение,K74,30_34,муж,14,30-34,7
XI,Пищеварение,K74,35_39,жен,46,35-39,8
XI,Пищеварение,K74,35_39,муж,72,35-39,8
XI,Пищеварение,K74,40_44,жен,77,40-44,9
XI,Пищеварение,K74,40_44,муж,124,40-44,9
XI,Пищеварение,K74,45_49,жен,121,45-49,10
XI,Пищеварение,K74,45_49,муж,184,45-49,10
XI,Пищеварение,K74,50_54,жен,127,50-54,11
XI,Пищеварение,K74,50_54,муж,185,50-54,11
XI,Пищеварение,K74,55_59,жен,143,55-59,12
XI,Пищеварение,K74,55_59,муж,181,55-59,12
XI,Пищеварение,K74,60_64,жен,168,60-64,13
XI,Пищеварение,K74,60_64,муж,202,60-64,13
XI,Пищеварение,K74,65_69,жен,130,65-69,14
XI,Пищеварение,K74,65_69,муж,135,65-69,14
XI,Пищеварение,K74,70_74,жен,65,70-74,15
XI,Пищеварение,K74,70_74,муж,75,70-74,15
XI,Пищеварение,K74,75_79,жен,51,75-79,16
XI,Пищеварение,K74,75_79,муж,33,75-79,16
